囊	嚢
囑	嘱
团	団
园	園
囱	囪
围	囲
图	図
圆	円
圈	圏
國	国
圍	囲
圓	円
圖	図
團	団
圣	聖
圹	壙
场	場
坏	壊
块	塊
坚	堅
坛	壇
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垅	壠
垆	壚
垒	塁
垦	墾
垩	堊
垫	墊
垭	埡
垯	墶
垱	壋
垲	塏
垴	堖
埘	塒
埙	塤
埚	堝
堇	菫
堑	塹
堯	尭
塆	壪
墙	墻
增	増
墮	堕
壓	圧
壘	塁
壞	壊
壤	壌
壯	壮
壳	殻
壶	壷
壸	壼
壹	壱
壺	壷
壻	婿
壽	寿
处	処
备	備
复	復
够	夠
头	頭
夸	誇
夹	夾
夺	奪
奁	匳
奂	奐
奋	奮
奖	奨
奧	奥
奩	匳
奬	奨
奸	姦
妆	粧
妇	婦
妈	媽
妒	妬
妝	粧
妩	嫵
妪	嫗
妫	嬀
姊	姉
姗	姍
姜	薑
姬	姫
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娘	嬢
娛	娯
娱	娯
娲	媧
娴	嫺
婳	嫿
婴	嬰
婵	嬋
婶	嬸
媪	媼
媭	嬃
嫒	嬡
嫔	嬪
嫱	嬙
嫻	嫺
嬷	嬤
孃	嬢
孙	孫
孪	孿
學	学
宁	寧
实	実
宠	寵
审	審
宪	憲
宫	宮
宽	寛
宾	賓
寇	冦
寑	寝
寢	寝
實	実
寫	写
寬	寛
寶	宝
对	対
寻	尋
导	導
將	将
專	専
對	対
尔	爾
尘	塵
尙	尚
尝	嘗
尧	尭
尴	尷
尸	屍
尽	儘
层	層
屃	屓
屆	届
屉	屜
屡	屢
屢	屡
屦	屨
屬	属
屭	屓
屿	嶼
岁	歳
岂	豈
岈	谺
岖	嶇
岗	崗
岘	峴
岚	嵐
岛	島
岭	嶺
岽	崬
岿	巋
峃	嶨
峄	嶧
峣	嶢
峤	嶠
峥	崢
峦	巒
峽	峡
崂	嶗
崃	崍
崄	嶮
崭	嶄
嵘	峵
嵚	嶔
嵝	嶁
嶸	峵
嶽	岳
巅	巓
巔	巓
巖	巌
巠	坙
巢	巣
巩	鞏
巯	巰
币	幣
帅	帥
师	師
帏	幃
帐	帳
帘	簾
帜	幟
带	帯
帧	幀
帮	幇
帱	幬
帶	帯
帻	幘
帼	幗
幂	冪
幫	幇
干	乾
并	併
幹	干
广	広
庄	荘
庆	慶
庐	廬
庑	廡
库	庫
应	応
庙	廟
庞	龐
废	廃
庼	廎
廁	厠
廄	厩
廈	厦
廚	厨
廝	厮
廢	廃
廣	広
廪	廩
廳	庁
开	開
异	異
弃	棄
弑	弒
弒	弑
张	張
弪	弳
弯	彎
弹	弾
强	強
彈	弾
彌	弥
彐	彑
归	帰
录	録
彟	彠
彥	彦
彦	彥
彨	彲
彻	徹
徑	径
徕	徠
從	従
御	禦
徵	徴
德	徳
忆	憶
忏	懺
忧	憂
忾	愾
怀	懐
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	総
怼	懟
怿	懌
恆	恒
恋	戀
恒	恆
恤	卹
恳	懇
恶	悪
恸	慟
恹	懨
恺	愷
恻	惻
恼	悩
恽	惲
恿	慂
悀	愑
悅	悦
悫	愨
悬	懸
悭	慳
悮	悞
悯	憫
惊	驚
惠	恵
惡	悪
惧	懼
惩	懲
惫	憊
惬	愜
惭	慙
惮	憚
惯	慣
惱	悩
愈	癒
愠	慍
愤	憤
愦	憒
愼	慎
愿	願
慑	慴
慘	惨
慚	慙
憐	怜
憑	凭
應	応
懑	懣
懒	嬾
懔	懍
懶	嬾
懷	懐
懼	惧
懾	慴
戀	恋
戋	戔
戏	戯
戗	戧
战	戦
戬	戩
戯	戱
戰	戦
戲	戯
戶	戸
户	戸
戾	戻
扑	撲
托	託
扠	扨
扣	釦
执	執
扩	拡
扪	捫
扫	掃
扬	揚
扰	擾
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
抬	擡
拂	払
拈	撚
拋	抛
拓	搨
拔	抜
拜	拝
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	択
拼	拚
拿	拏
挂	掛
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挽	輓
挾	挟
捆	梱
捍	扞
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
捨	舎
据	拠
捻	撚
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
插	挿
揭	掲
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搅	撹
搔	掻
搖	揺
搜	捜
携	攜
摄	摂
摅	攄
摆	擺
摇	揺
摈	擯
摊	攤
摑	掴
撄	攖
撑	撐
撵	攆
撷	擷
撸	擼
撺	攛
擇	択
擊	撃
擔	担
據	拠
擞	擻
擧	挙
擴	拡
攒	攅
攜	携
攝	摂
攢	攅
攪	撹
收	収
效	効
敌	敵
敍	叙
敎	教
敕	勅
敘	叙
敛	斂
敦	惇
敩	斆
數	数
斋	斎
斓	斕
斗	鬥
斩	斬
斷	断
无	無
旣	既
时	時
旷	曠
旸	暘
昂	昻
昆	崑
昙	曇
昺	昞
昽	曨
显	顕
晉	晋
晋	晉
晒	曬
晓	暁
晔	曄
晕	暈
晖	暉
晚	晩
晝	昼
暂	暫
暧	曖
暨	曁
暱	昵
曆	暦
曉	暁
曬	晒
會	会
术	術
朴	樸
朵	朶
机	機
杀	殺
杂	雑
权	権
杆	桿
杠	槓
来	來
杨	楊
杩	榪
杰	傑
松	鬆
极	極
构	構
枞	樅
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
柏	栢
柜	櫃
柠	檸
查	査
柩	柾
柽	檉
栀	梔
栅	柵
标	標
栈	桟
栉	櫛
栊	槞
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
样	様
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
桪	樳
桴	枹
桿	杆
條	条
梦	夢
梼	檮
梾	棶
梿	槤
检	検
棁	梲
棂	櫺
棧	桟
棱	稜
椁	槨
椝	槼
椟	櫝
椠	槧
椢	槶
椤	欏
椫	樿
椭	楕
榄	欖
榅	榲
榆	楡
榇	櫬
榈	櫚
榉	欅
榨	搾
榮	栄
槇	槙
槔	槹
槚	檟
槛	檻
槟	梹
槠	櫧
槨	椁
槪	概
槶	椢
樂	楽
樓	楼
樞	枢
樣	様
樯	檣
樱	桜
機	机
橢	楕
橥	櫫
橫	横
橱	櫥
橹	櫓
橼	櫞
檐	簷
檔	档
檜	桧
檢	検
檩	檁
檮	梼
檳	梹
櫳	槞
櫸	欅
櫻	桜
權	権
欢	歓
欤	歟
欲	慾
歐	欧
歡	歓
步	歩
歲	歳
歷	暦
歸	帰
歼	殲
殁	歿
殇	殤
殒	殞
殓	殮
殘	残
殚	殫
殡	殯
殼	殻
毁	毀
毂	轂
毆	殴
每	毎
毕	畢
毗	毘
毙	斃
毡	氈
毵	毿
氇	氌
气	気
氛	雰
氢	氫
氣	気
氩	氬
氲	氳
汇	匯
汉	漢
污	汚
汤	湯
汹	洶
沈	瀋
沒	没
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沨	渢
沩	潙
沪	滬
沵	濔
泄	洩
泛	氾
泞	濘
注	註
泪	涙
泶	澩
泷	滝
泸	瀘
泺	濼
泻	潟
泼	溌
泽	沢
泾	涇
洁	潔
洼	窪
浃	浹
浆	漿
浇	澆
浈	湞
浉	溮
浊	濁
测	測
浍	澮
济	済
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
浕	濜
涂	塗
涉	渉
涌	湧
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涢	溳
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	渋
涸	凅
淀	澱
淒	凄
淚	涙
淨	浄
淸	清
淺	浅
渊	淵
渍	漬
渎	涜
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
渴	渇
游	遊
溁	濚
溃	潰
溅	濺
溇	漊
溉	漑
溪	渓
溫	温
溯	遡
滗	潷
滚	滾
滟	灧
滠	灄
满	満
滢	瀅
滤	濾
滥	濫
滦	灤
滨	浜
滩	灘
滪	澦
滯	滞
滿	満
潆	瀠
潇	瀟
潋	瀲
潍	濰
潑	溌
潛	潜
潴	瀦
澀	渋
澁	渋
澛	瀂
澜	瀾
澤	沢
濑	瀬
濒	瀕
濕	湿
濟	済
濤	涛
濱	浜
瀆	涜
瀉	潟
瀧	滝
瀨	瀬
灌	潅
灏	灝
灑	洒
灣	湾
灭	滅
灵	霊
灶	竃
灾	災
灿	燦
炀	煬
炖	燉
炜	煒
炝	熗
炫	衒
炮	砲
炼	錬
炽	熾
烁	爍
烂	燗
烃	烴
烛	燭
烟	煙
烦	煩
烧	焼
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
焰	焔
煅	煆
煉	錬
燈	灯
燒	焼
營	営
爐	炉
爛	燗
爭	争
爱	愛
爲	為
爷	爺
牆	墻
牍	牘
牦	犛
牵	牽
牺	犠
犁	犂
犊	犢
犧	犠
犷	獷
犸	獁
犹	猶
狀	状
狈	狽
狝	獮
狞	獰
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
狹	狭
猃	獫
猎	猟
猕	獼
猡	玀
猪	豬
猫	貓
猬	蝟
獎	奨
獨	独
獭	獺
獵	猟
獸	獣
獻	献
玑	璣
玙	璵
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珏	玨
珐	琺
珑	瓏
珰	璫
珲	琿
琅	瑯
琎	璡
琏	璉
琐	瑣
琼	瓊
瑤	瑶
瑯	琅
瑷	璦
瑸	璸
璎	瓔
瓒	瓚
瓮	甕
瓯	甌
甁	瓶
甕	瓮
產	産
电	電
畅	暢
畫	画
畬	畭
畲	畭
畴	疇
當	当
疆	彊
疊	畳
疏	疎
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癧
疭	瘲
疮	瘡
疯	瘋
疴	痾
痈	癰
痉	痙
痒	癢
痖	瘂
痨	癆
痪	瘓
痫	癇
痱	疿
痹	痺
瘅	癉
瘆	瘮
瘗	瘞
瘘	瘻
瘦	痩
