㓰 0X34F0 획
㓱 0X34F1 두
㓲 0X34F2 편
㓳 0X34F3 저
㓴 0X34F4 연
㓵 0X34F5 악
㓶 0X34F6 결
㓷 0X34F7 의
㓸 0X34F8 착
㓹 0X34F9 체
㓺 0X34FA 건
㓻 0X34FB 강
㓼 0X34FC 칠
㓽 0X34FD 숭
㓾 0X34FE 서
㓿 0X34FF 칠
㔀 0X3500 량
㔁 0X3501 등
㔂 0X3502 린
㔃 0X3503 절
㔄 0X3504 속
㔅 0X3505 소
㔆 0X3506 잠
㔇 0X3507 발
㔈 0X3508 비
㔉 0X3509 촉
㔊 0X350A 전
㔋 0X350B 감
㔌 0X350C 추
㔍 0X350D 촬
㔎 0X350E 설
㔏 0X350F 력
㔐 0X3510 첨
㔑 0X3511 칠
㔒 0X3512 휴
㔓 0X3513 건
㔔 0X3514 강
㔕 0X3515 글
㔖 0X3516 각
㔗 0X3517 비
㔘 0X3518 출
㔙 0X3519 병
㔚 0X351A 구
㔛 0X351B 할
㔜 0X351C 발
㔝 0X351D 량
㔞 0X351E 괴
㔟 0X351F 세
㔠 0X3520 할
㔡 0X3521 별
㔢 0X3522 절
㔣 0X3523 뢰
㔤 0X3524 심
㔥 0X3525 패
㔦 0X3526 양
㔧 0X3527 로
㔨 0X3528 배
㔩 0X3529 압
㔪 0X352A 로
㔫 0X352B 좌
㔬 0X352C 탁
㔭 0X352D 시
㔮 0X352E 나
㔯 0X352F 선
㔰 0X3530 항
㔱 0X3531 유
㔲 0X3532 궤
㔳 0X3533 궤
㔴 0X3534 익
㔵 0X3535 선
㔶 0X3536 감
㔷 0X3537 루
㔸 0X3538 체
㔹 0X3539 를
㔺 0X353A 세
㔻 0X353B 비
㔼 0X353C 순
㔽 0X353D 유
㔾 0X353E 절
㔿 0X353F 주
㕀 0X3540 주
㕁 0X3541 각
㕂 0X3542 음
㕃 0X3543 계
㕄 0X3544 지
㕅 0X3545 갑
㕆 0X3546 호
㕇 0X3547 랍
㕈 0X3548 의
㕉 0X3549 갑
㕊 0X354A 부
㕋 0X354B 금
㕌 0X354C 애
㕍 0X354D 퇴
㕎 0X354E 압
㕏 0X354F 주
㕐 0X3550 사
㕑 0X3551 주
㕒 0X3552 의
㕓 0X3553 전
㕔 0X3554 청
㕕 0X3555 환
㕖 0X3556 소
㕗 0X3557 유
㕘 0X3558 참
㕙 0X3559 준
㕚 0X355A 조
㕛 0X355B 우
㕜 0X355C 사
㕝 0X355D 고
㕞 0X355E 쇄
㕟 0X355F 괴
㕠 0X3560 쌍
㕡 0X3561 학
㕢 0X3562 개
㕣 0X3563 연
㕤 0X3564 구
㕥 0X3565 이
㕦 0X3566 화
㕧 0X3567 히
㕨 0X3568 범
㕩 0X3569 방
㕪 0X356A 담
㕫 0X356B 방
㕬 0X356C 공
㕭 0X356D 요
㕮 0X356E 부
㕯 0X356F 눌
㕰 0X3570 학
㕱 0X3571 우
㕲 0X3572 활
㕳 0X3573 흉
