惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
愈	愈	癒
愠	慍
愤	憤
愧	愧	媿
愿	願
慑	懾
懑	懣
懒	懶
懔	懍
戏	戲
战	戰
戚	戚	慼
户	戶
才	才	纔
扎	扎	札	紮
扑	撲
托	託	托
扣	扣	釦
执	執
扩	擴
扪	捫
扫	掃
扬	揚	颺
扰	擾
折	折	摺
抚	撫
抛	拋
抠	摳
抡	掄
抢	搶
护	護
报	報
抬	抬
抵	抵	牴	觝
担	擔
拈	拈	撚
拐	拐	枴
拓	搨	拓
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
拼	拚
挂	掛
挑	挑	䠷
挚	摯
挛	攣
挞	撻
挟	挾
挠	撓
挡	擋	攩
挣	掙
挤	擠
挥	揮
挨	挨	捱
挽	輓	挽
捂	捂	摀
捆	綑	捆	梱
捞	撈
损	損
捡	撿
换	換
捣	搗
据	據
捻	撚
掳	擄
掴	摑
掷	擲
揽	攬
搀	攙
搁	擱
搂	摟
搅	攪
搜	搜	蒐
携	攜
摄	攝
摆	擺	襬
摇	搖
摈	摒
摊	攤
撑	撐
撵	攆
擞	擻
攒	攢	儹	欑
效	效	傚
敌	敵
敕	敕
教	教
敛	斂	歛
数	數
斋	齋
斗	鬥	斗
斩	斬
断	斷
旋	旋	鏇
无	無
旧	舊
时	時
旷	曠
昆	崑	昆
昵	昵	暱
昼	晝
显	顯
晋	晉
晒	曬	晒
晓	曉
晕	暈
晖	暉
暂	暫
暗	暗	闇	晻
暧	曖
曲	曲	麴
札	札	劄
术	術	朮
朱	朱	硃
朴	樸
机	機
杀	殺
杂	雜
权	權
杆	桿
村	村	邨
杠	槓	杠
条	條
来	來
杨	楊
杯	杯	盃
杰	傑
松	鬆	松
板	板	闆
极	極
构	構
枞	樅
枢	樞
枣	棗
枪	槍	鎗
枫	楓
枭	梟
柜	櫃
柠	檸
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栋	棟
栏	欄
树	樹
栖	棲
栗	栗	慄
样	樣
核	核	覈
桢	楨
档	檔
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梁	梁	樑
梦	夢
检	檢
棂	櫺
棰	棰	箠
棱	稜	棱
棹	棹	櫂
椁	槨
椟	櫝
椭	橢
楼	樓
榄	欖
榈	櫚
榨	榨	搾
槛	檻
槟	檳
横	橫
樯	檣
樱	櫻
橱	櫥
橹	櫓	艣
檐	簷	檐	譭
欢	歡	讙	驩
欤	歟
欧	歐
欲	慾	欲
歼	殲
殁	歿
殇	殤
残	殘
殓	殮
殡	殯
殴	毆
殷	殷	慇
毁	毀	燬
毂	轂
毕	畢
毙	斃
气	氣
氢	氫
氲	氳
汇	匯	彙
汉	漢
污	污
汤	湯
汹	洶
沄	沄	澐
沈	瀋	沈
沟	溝
没	沒
沥	瀝
沦	淪
沧	滄
沪	滬
沾	沾	霑
泄	泄	洩
泛	泛	氾	汎
泞	濘
注	註	注
泪	淚
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑	洒
洼	窪
浅	淺
浆	漿
浇	澆
浊	濁
测	測
济	濟
浏	瀏
浑	渾
浓	濃
浚	浚	濬
浩	浩	澔
涂	塗
涌	湧
涛	濤
涟	漣
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
